id;produit_nom;produit_description;produit_prix;produit_stock
1;scalable;Small;98688;42340
2;reinvent 24 hour Jewelery;monitor;72900;79017
3;Checking Account Identity deposit;IB Investment Account archive;6355;37081
4;Lempira;pixel withdrawal;88721;56124
5;embrace Developer;synthesize Idaho compress;49379;4043
6;system Small;Intelligent Outdoors;63641;47537
7;Montana;Corporate Phased relationships;75555;20306
8;Brand;neutral Salad;92969;62435
9;modular Refined Squares;maroon;89255;88328
10;projection Fresh;support Gorgeous;22793;64769
